timestamp,acc_x,acc_y,acc_z,w_x,w_y,w_z,comp_x,comp_y,comp_z
0.016,0.0,0.0,12.102761843966723,0.0,0.0,0.0,0.0,1.0,0.0
0.032,0.0,0.0,9.348334829177132,0.0,0.0,0.0,0.0,1.0,0.0
0.048,0.0,0.0,9.467062350921582,0.0,0.0,0.0,0.0,1.0,0.0
0.064,0.0,0.0,13.51183954500409,0.0,0.0,0.0,0.0,1.0,0.0
0.08,0.0,0.0,14.770058775481266,0.0,0.0,0.0,0.0,1.0,0.0
0.096,0.0,0.0,14.91028864220753,0.0,0.0,0.0,0.0,1.0,0.0
0.112,0.0,0.0,14.947513877496021,0.0,0.0,0.0,0.0,1.0,0.0
0.128,0.0,0.0,14.660655214833868,0.0,0.0,0.0,0.0,1.0,0.0
0.14400000000000002,0.0,0.0,14.894698811261595,0.0,0.0,0.0,0.0,1.0,0.0
0.16,0.0,0.0,14.881515987317808,0.0,0.0,0.0,0.0,1.0,0.0
0.176,0.0,0.0,14.767883222320691,0.0,0.0,0.0,0.0,1.0,0.0
0.192,0.0,0.0,14.776580699340116,0.0,0.0,0.0,0.0,1.0,0.0
0.20800000000000002,0.0,0.0,14.934777183831944,0.0,0.0,0.0,0.0,1.0,0.0
0.224,0.0,0.0,14.826345652634393,0.0,0.0,0.0,0.0,1.0,0.0
0.24,0.0,0.0,14.796706820776262,0.0,0.0,0.0,0.0,1.0,0.0
0.256,0.0,0.0,14.819808018726397,0.0,0.0,0.0,0.0,1.0,0.0
0.272,0.0,0.0,14.719838215163417,0.0,0.0,0.0,0.0,1.0,0.0
0.28800000000000003,0.0,0.0,14.857152197633653,0.0,0.0,0.0,0.0,1.0,0.0
0.304,0.0,0.0,14.873801287046824,0.0,0.0,0.0,0.0,1.0,0.0
0.32,0.0,0.0,14.794103637239328,0.0,0.0,0.0,0.0,1.0,0.0
0.336,0.0,0.0,14.808821010882687,0.0,0.0,0.0,0.0,1.0,0.0
0.352,0.0,0.0,14.702328513577774,0.0,0.0,0.0,0.0,1.0,0.0
0.368,0.0,0.0,14.875675232443008,0.0,0.0,0.0,0.0,1.0,0.0
0.384,0.0,0.0,14.810421051337817,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.0,0.0,14.823422592213367,0.0,0.0,0.0,0.0,1.0,0.0
0.41600000000000004,0.0,0.0,14.746719022810007,0.0,0.0,0.0,0.0,1.0,0.0
0.432,0.0,0.0,14.804055691671124,0.0,0.0,0.0,0.0,1.0,0.0
0.448,0.0,0.0,14.859277760431914,0.0,0.0,0.0,0.0,1.0,0.0
0.464,0.0,0.0,14.824621550138001,0.0,0.0,0.0,0.0,1.0,0.0
0.48,0.0,0.0,14.745272319192827,0.0,0.0,0.0,0.0,1.0,0.0
0.496,0.0,0.0,14.804004149225905,0.0,0.0,0.0,0.0,1.0,0.0
0.512,0.0,0.0,14.817235369681027,0.0,0.0,0.0,0.0,1.0,0.0
0.528,0.0,0.0,11.05029506489516,0.0,0.0,0.0,0.0,1.0,0.0
0.544,0.0,0.0,9.743388054895798,0.0,0.0,0.0,0.0,1.0,0.0
0.56,0.0,0.0,9.811070670481461,0.0,0.0,0.0,0.0,1.0,0.0
0.5760000000000001,0.0,0.0,9.786046359749918,0.0,0.0,0.0,0.0,1.0,0.0
0.592,0.0,0.0,9.772966657557065,0.0,0.0,0.0,0.0,1.0,0.0
0.608,0.0,0.0,9.82197928077153,0.0,0.0,0.0,0.0,1.0,0.0
0.624,0.0,0.0,9.87171946007906,0.0,0.0,0.0,0.0,1.0,0.0
0.64,0.0,0.0,9.799347813595281,0.0,0.0,0.0,0.0,1.0,0.0
0.656,0.0,0.0,9.820926982435273,0.0,0.0,0.0,0.0,1.0,0.0
0.672,0.0,0.0,9.8228283778971,0.0,0.0,0.0,0.0,1.0,0.0
0.6880000000000001,0.0,0.0,9.788767034643469,0.0,0.0,0.0,0.0,1.0,0.0
0.704,0.0,0.0,9.849642069658142,0.0,0.0,0.0,0.0,1.0,0.0
0.72,0.0,0.0,9.802191230250049,0.0,0.0,0.0,0.0,1.0,0.0
0.736,0.0,0.0,9.804218666870643,0.0,0.0,0.0,0.0,1.0,0.0
0.752,0.0,0.0,9.846045198104578,0.0,0.0,0.0,0.0,1.0,0.0
0.768,0.0,0.0,9.785257226113709,0.0,0.0,0.0,0.0,1.0,0.0
0.784,0.0,0.0,9.723269390289715,0.0,0.0,0.0,0.0,1.0,0.0
0.8,0.0,0.0,9.782270830421423,0.0,0.0,0.0,0.0,1.0,0.0
0.8160000000000001,0.0,0.0,8.552010343017745,0.0,0.0,0.0,0.0,1.0,0.0
0.8320000000000001,0.0,0.0,6.271227952569797,0.0,0.0,0.0,0.0,1.0,0.0
0.848,0.0,0.0,7.190637725530987,0.0,0.0,0.0,0.0,1.0,0.0
0.864,0.0,0.0,6.874020229116144,0.0,0.0,0.0,0.0,1.0,0.0
0.88,0.0,0.0,7.139216593247702,0.0,0.0,0.0,0.0,1.0,0.0
0.896,0.0,0.0,7.111315402850938,0.0,0.0,0.0,0.0,1.0,0.0
0.912,0.0,0.0,7.21678459136636,0.0,0.0,0.0,0.0,1.0,0.0
0.928,0.0,0.0,7.220026621199279,0.0,0.0,0.0,0.0,1.0,0.0
0.9440000000000001,0.0,0.0,7.319519765582392,0.0,0.0,0.0,0.0,1.0,0.0
0.96,0.0,0.0,7.324923780451813,0.0,0.0,0.0,0.0,1.0,0.0
0.976,0.0,0.0,7.39683655610165,0.0,0.0,0.0,0.0,1.0,0.0
0.992,0.0,0.0,7.421045384196383,0.0,0.0,0.0,0.0,1.0,0.0
1.008,0.0,0.0,7.455383114207558,0.0,0.0,0.0,0.0,1.0,0.0
1.024,0.0,0.0,7.533536347830558,0.0,0.0,0.0,0.0,1.0,0.0
1.04,0.0,0.0,7.556121220542712,0.0,0.0,0.0,0.0,1.0,0.0
1.056,0.0,0.0,7.627702238356562,0.0,0.0,0.0,0.0,1.0,0.0
1.072,0.0,0.0,7.6745441144408835,0.0,0.0,0.0,0.0,1.0,0.0
1.088,0.0,0.0,7.759055038369672,0.0,0.0,0.0,0.0,1.0,0.0
1.104,0.0,0.0,7.751425812048351,0.0,0.0,0.0,0.0,1.0,0.0
1.12,0.0,0.0,7.822238309706424,0.0,0.0,0.0,0.0,1.0,0.0
1.1360000000000001,0.0,0.0,7.9107464373315,0.0,0.0,0.0,0.0,1.0,0.0
1.1520000000000001,0.0,0.0,7.861258230183353,0.0,0.0,0.0,0.0,1.0,0.0
1.168,0.0,0.0,7.884629499035858,0.0,0.0,0.0,0.0,1.0,0.0
1.184,0.0,0.0,8.001176540507174,0.0,0.0,0.0,0.0,1.0,0.0
1.2,0.0,0.0,8.027572163304319,0.0,0.0,0.0,0.0,1.0,0.0
1.216,0.0,0.0,8.01498027671395,0.0,0.0,0.0,0.0,1.0,0.0
1.232,0.0,0.0,8.057165212226986,0.0,0.0,0.0,0.0,1.0,0.0
1.248,0.0,0.0,8.17586444261859,0.0,0.0,0.0,0.0,1.0,0.0
1.264,0.0,0.0,8.162474686344554,0.0,0.0,0.0,0.0,1.0,0.0
