timestamp,acc_x,acc_y,acc_z,w_x,w_y,w_z,comp_x,comp_y,comp_z
0.016,0.0,0.0,12.102383656295869,0.0,0.0,0.0,0.0,1.0,0.0
0.032,0.0,0.0,9.34858183896949,0.0,0.0,0.0,0.0,1.0,0.0
0.048,0.0,0.0,9.467257546489888,0.0,0.0,0.0,0.0,1.0,0.0
0.064,0.0,0.0,13.511777892165032,0.0,0.0,0.0,0.0,1.0,0.0
0.08,0.0,0.0,14.770058775481266,0.0,0.0,0.0,0.0,1.0,0.0
0.096,0.0,0.0,14.91028864220753,0.0,0.0,0.0,0.0,1.0,0.0
0.112,0.0,0.0,14.947513877496021,0.0,0.0,0.0,0.0,1.0,0.0
0.128,0.0,0.0,14.660655214833868,0.0,0.0,0.0,0.0,1.0,0.0
0.14400000000000002,0.0,0.0,14.894698811261595,0.0,0.0,0.0,0.0,1.0,0.0
0.16,0.0,0.0,14.881515987317808,0.0,0.0,0.0,0.0,1.0,0.0
0.176,0.0,0.0,14.767883222320691,0.0,0.0,0.0,0.0,1.0,0.0
0.192,0.0,0.0,14.776580699340116,0.0,0.0,0.0,0.0,1.0,0.0
0.20800000000000002,0.0,0.0,14.934777183831944,0.0,0.0,0.0,0.0,1.0,0.0
0.224,0.0,0.0,14.826345652634393,0.0,0.0,0.0,0.0,1.0,0.0
0.24,0.0,0.0,14.796706820776262,0.0,0.0,0.0,0.0,1.0,0.0
0.256,0.0,0.0,14.819808018726397,0.0,0.0,0.0,0.0,1.0,0.0
0.272,0.0,0.0,14.719838215163417,0.0,0.0,0.0,0.0,1.0,0.0
0.28800000000000003,0.0,0.0,14.857152197633653,0.0,0.0,0.0,0.0,1.0,0.0
0.304,0.0,0.0,14.873801287046824,0.0,0.0,0.0,0.0,1.0,0.0
0.32,0.0,0.0,14.794103637239328,0.0,0.0,0.0,0.0,1.0,0.0
0.336,0.0,0.0,14.808821010882687,0.0,0.0,0.0,0.0,1.0,0.0
0.352,0.0,0.0,14.702328513577774,0.0,0.0,0.0,0.0,1.0,0.0
0.368,0.0,0.0,14.875675232443008,0.0,0.0,0.0,0.0,1.0,0.0
0.384,0.0,0.0,14.810421051337817,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.0,0.0,14.823422592213367,0.0,0.0,0.0,0.0,1.0,0.0
0.41600000000000004,0.0,0.0,14.746719022810007,0.0,0.0,0.0,0.0,1.0,0.0
0.432,0.0,0.0,14.804055691671124,0.0,0.0,0.0,0.0,1.0,0.0
